,pic,lable,type,cursor_x,cursor_y,pos_x,xpos,pos_y,ypos,pic_width,pic_height,x,y
42,5.png,全部完成,纯文字,-317,6,左,-300,中,0,130,31,-17,6
43,4.png,纯色块,方块,214,-505,右,300,上,-533,120,120,-86,28
44,2.png,纯色块,方块,-62,568,中,0,下,533,48,48,-62,35
45,9.png,全部完成,长条文字按钮,-31,-30,中,0,中,0,352,140,-31,-30
46,6.png,完成,纯文字,-322,-523,左,-300,上,-533,64,31,-22,10
47,7.png,已完成,纯文字,-298,557,左,-300,下,533,95,31,2,24
48,4.png,纯色块,方块,43,-547,中,0,上,-533,120,120,43,-14
49,6.png,完成,纯文字,322,571,右,300,下,533,64,31,22,38
50,8.png,全部完成,长条文字按钮,-22,-497,中,0,上,-533,282,140,-22,36
51,2.png,纯色块,方块,-297,542,左,-300,下,533,48,48,3,9
52,3.png,纯色块,方块,283,556,右,300,下,533,86,86,-17,23
53,8.png,全部完成,长条文字按钮,-308,533,左,-300,下,533,282,140,-8,0
54,10.png,全部完成,长条文字按钮,-314,-26,左,-300,中,0,532,140,-14,-26
55,7.png,已完成,纯文字,-347,-30,左,-300,中,0,95,31,-47,-30
56,9.png,全部完成,长条文字按钮,231,12,右,300,中,0,352,140,-69,12
57,9.png,全部完成,长条文字按钮,-46,-498,中,0,上,-533,352,140,-46,35
58,5.png,全部完成,纯文字,-289,-533,左,-300,上,-533,130,31,11,0
59,1.png,纯色块,方块,298,509,右,300,下,533,30,30,-2,-24
60,9.png,全部完成,长条文字按钮,-325,525,左,-300,下,533,352,140,-25,-8
61,10.png,全部完成,长条文字按钮,-94,1,中,0,中,0,532,140,-94,1
62,5.png,全部完成,纯文字,-19,-494,中,0,上,-533,130,31,-19,39
64,7.png,已完成,纯文字,346,32,右,300,中,0,95,31,46,32
65,3.png,纯色块,方块,-377,-516,左,-300,上,-533,86,86,-77,17
66,9.png,全部完成,长条文字按钮,12,1,中,0,中,0,352,140,12,1
67,3.png,纯色块,方块,0,565,中,0,下,533,86,86,0,32
68,6.png,完成,纯文字,-259,19,左,-300,中,0,64,31,41,19
69,7.png,已完成,纯文字,270,-502,右,300,上,-533,95,31,-30,31
70,5.png,全部完成,纯文字,-348,-19,左,-300,中,0,130,31,-48,-19
71,9.png,全部完成,长条文字按钮,212,-9,右,300,中,0,352,140,-88,-9
72,2.png,纯色块,方块,321,-518,右,300,上,-533,48,48,21,15
73,4.png,纯色块,方块,47,-538,中,0,上,-533,120,120,47,-5
74,8.png,全部完成,长条文字按钮,-307,-544,左,-300,上,-533,282,140,-7,-11
75,5.png,全部完成,纯文字,-26,10,中,0,中,0,130,31,-26,10
76,6.png,完成,纯文字,27,27,中,0,中,0,64,31,27,27
77,2.png,纯色块,方块,-346,-505,左,-300,上,-533,48,48,-46,28
78,9.png,全部完成,长条文字按钮,-364,519,左,-300,下,533,352,140,-64,-14
79,7.png,已完成,纯文字,-27,-6,中,0,中,0,95,31,-27,-6
80,2.png,纯色块,方块,-325,-544,左,-300,上,-533,48,48,-25,-11
81,3.png,纯色块,方块,16,-520,中,0,上,-533,86,86,16,13
82,1.png,纯色块,方块,-294,-16,左,-300,中,0,30,30,6,-16
83,9.png,全部完成,长条文字按钮,-328,-525,左,-300,上,-533,352,140,-28,8
84,10.png,全部完成,长条文字按钮,-123,13,中,0,中,0,532,140,-123,13
85,9.png,全部完成,长条文字按钮,-360,-536,左,-300,上,-533,352,140,-60,-3
86,2.png,纯色块,方块,-314,-15,左,-300,中,0,48,48,-14,-15
87,2.png,纯色块,方块,-20,-513,中,0,上,-533,48,48,-20,20
88,1.png,纯色块,方块,281,-517,右,300,上,-533,30,30,-19,16
89,5.png,全部完成,纯文字,279,555,右,300,下,533,130,31,-21,22
90,7.png,已完成,纯文字,340,25,右,300,中,0,95,31,40,25
91,6.png,完成,纯文字,9,-523,中,0,上,-533,64,31,9,10
92,3.png,纯色块,方块,-302,-11,左,-300,中,0,86,86,-2,-11
93,9.png,全部完成,长条文字按钮,237,571,右,300,下,533,352,140,-63,38
94,3.png,纯色块,方块,305,-56,右,300,中,0,86,86,5,-56
95,1.png,纯色块,方块,-23,20,中,0,中,0,30,30,-23,20
96,6.png,完成,纯文字,21,537,中,0,下,533,64,31,21,4
97,6.png,完成,纯文字,274,-507,右,300,上,-533,64,31,-26,26
98,10.png,全部完成,长条文字按钮,-380,-558,左,-300,上,-533,532,140,-80,-25
99,1.png,纯色块,方块,-222,-546,左,-300,上,-533,30,30,78,-13
100,6.png,完成,纯文字,-306,27,左,-300,中,0,64,31,-6,27
101,10.png,全部完成,长条文字按钮,-117,-492,中,0,上,-533,532,140,-117,41
102,6.png,完成,纯文字,289,517,右,300,下,533,64,31,-11,-16
103,10.png,全部完成,长条文字按钮,211,-519,右,300,上,-533,532,140,-89,14
104,5.png,全部完成,纯文字,-34,-527,中,0,上,-533,130,31,-34,6
105,10.png,全部完成,长条文字按钮,-87,-563,中,0,上,-533,532,140,-87,-30
106,1.png,纯色块,方块,250,-545,右,300,上,-533,30,30,-50,-12
107,7.png,已完成,纯文字,30,18,中,0,中,0,95,31,30,18
108,3.png,纯色块,方块,-362,10,左,-300,中,0,86,86,-62,10
109,5.png,全部完成,纯文字,268,539,右,300,下,533,130,31,-32,6
110,9.png,全部完成,长条文字按钮,303,540,右,300,下,533,352,140,3,7
111,10.png,全部完成,长条文字按钮,-50,540,中,0,下,533,532,140,-50,7
112,7.png,已完成,纯文字,-47,-491,中,0,上,-533,95,31,-47,42
113,8.png,全部完成,长条文字按钮,-314,-15,左,-300,中,0,282,140,-14,-15
114,6.png,完成,纯文字,295,1,右,300,中,0,64,31,-5,1
115,1.png,纯色块,方块,281,16,右,300,中,0,30,30,-19,16
116,3.png,纯色块,方块,36,7,中,0,中,0,86,86,36,7
117,3.png,纯色块,方块,-3,-525,中,0,上,-533,86,86,-3,8
118,10.png,全部完成,长条文字按钮,-437,527,左,-300,下,533,532,140,-137,-6
119,3.png,纯色块,方块,-329,-528,左,-300,上,-533,86,86,-29,5
120,4.png,纯色块,方块,39,-7,中,0,中,0,120,120,39,-7
121,5.png,全部完成,纯文字,-370,500,左,-300,下,533,130,31,-70,-33
122,9.png,全部完成,长条文字按钮,-359,26,左,-300,中,0,352,140,-59,26
123,7.png,已完成,纯文字,-12,-525,中,0,上,-533,95,31,-12,8
124,5.png,全部完成,纯文字,331,-29,右,300,中,0,130,31,31,-29
125,1.png,纯色块,方块,24,505,中,0,下,533,30,30,24,-28
126,1.png,纯色块,方块,-329,-15,左,-300,中,0,30,30,-29,-15
127,3.png,纯色块,方块,284,-487,右,300,上,-533,86,86,-16,46
128,4.png,纯色块,方块,-431,-34,左,-300,中,0,120,120,-131,-34
129,4.png,纯色块,方块,274,7,右,300,中,0,120,120,-26,7
130,9.png,全部完成,长条文字按钮,-12,534,中,0,下,533,352,140,-12,1
131,7.png,已完成,纯文字,23,562,中,0,下,533,95,31,23,29
132,6.png,完成,纯文字,16,-501,中,0,上,-533,64,31,16,32
133,8.png,全部完成,长条文字按钮,44,-27,中,0,中,0,282,140,44,-27
134,10.png,全部完成,长条文字按钮,-319,-517,左,-300,上,-533,532,140,-19,16
135,8.png,全部完成,长条文字按钮,157,539,右,300,下,533,282,140,-143,6
136,8.png,全部完成,长条文字按钮,296,38,右,300,中,0,282,140,-4,38
137,7.png,已完成,纯文字,316,541,右,300,下,533,95,31,16,8
138,3.png,纯色块,方块,-46,539,中,0,下,533,86,86,-46,6
139,9.png,全部完成,长条文字按钮,-291,2,左,-300,中,0,352,140,9,2
140,1.png,纯色块,方块,-293,517,左,-300,下,533,30,30,7,-16
141,1.png,纯色块,方块,-286,546,左,-300,下,533,30,30,14,13
142,4.png,纯色块,方块,-291,549,左,-300,下,533,120,120,9,16
143,5.png,全部完成,纯文字,269,-15,右,300,中,0,130,31,-31,-15
144,2.png,纯色块,方块,269,-18,右,300,中,0,48,48,-31,-18
145,8.png,全部完成,长条文字按钮,-44,549,中,0,下,533,282,140,-44,16
146,1.png,纯色块,方块,-301,-536,左,-300,上,-533,30,30,-1,-3
147,8.png,全部完成,长条文字按钮,-297,-526,左,-300,上,-533,282,140,3,7
148,4.png,纯色块,方块,-14,542,中,0,下,533,120,120,-14,9
149,4.png,纯色块,方块,-269,539,左,-300,下,533,120,120,31,6
150,10.png,全部完成,长条文字按钮,247,26,右,300,中,0,532,140,-53,26
151,5.png,全部完成,纯文字,-52,541,中,0,下,533,130,31,-52,8
152,2.png,纯色块,方块,13,-516,中,0,上,-533,48,48,13,17
153,2.png,纯色块,方块,-348,520,左,-300,下,533,48,48,-48,-13
154,4.png,纯色块,方块,289,-519,右,300,上,-533,120,120,-11,14
155,3.png,纯色块,方块,319,-495,右,300,上,-533,86,86,19,38
156,10.png,全部完成,长条文字按钮,244,-8,右,300,中,0,532,140,-56,-8
157,4.png,纯色块,方块,211,499,右,300,下,533,120,120,-89,-34
158,4.png,纯色块,方块,327,-6,右,300,中,0,120,120,27,-6
159,4.png,纯色块,方块,-90,504,中,0,下,533,120,120,-90,-29
160,1.png,纯色块,方块,10,-495,中,0,上,-533,30,30,10,38
161,4.png,纯色块,方块,-46,-8,中,0,中,0,120,120,-46,-8
162,10.png,全部完成,长条文字按钮,-191,436,右,300,下,533,532,140,-491,-97
163,7.png,已完成,纯文字,-293,-531,左,-300,上,-533,95,31,7,2
164,8.png,全部完成,长条文字按钮,-259,534,左,-300,下,533,282,140,41,1
165,6.png,完成,纯文字,241,40,右,300,中,0,64,31,-59,40
166,9.png,全部完成,长条文字按钮,318,-475,右,300,上,-533,352,140,18,58
167,2.png,纯色块,方块,-80,528,中,0,下,533,48,48,-80,-5
168,3.png,纯色块,方块,-246,545,左,-300,下,533,86,86,54,12
169,1.png,纯色块,方块,-12,530,中,0,下,533,30,30,-12,-3
170,5.png,全部完成,纯文字,-278,-518,左,-300,上,-533,130,31,22,15
171,7.png,已完成,纯文字,234,-485,右,300,上,-533,95,31,-66,48
172,8.png,全部完成,长条文字按钮,-295,-26,左,-300,中,0,282,140,5,-26
173,8.png,全部完成,长条文字按钮,315,14,右,300,中,0,282,140,15,14
174,10.png,全部完成,长条文字按钮,238,532,右,300,下,533,532,140,-62,-1
175,2.png,纯色块,方块,47,-12,中,0,中,0,48,48,47,-12
176,1.png,纯色块,方块,290,-1,右,300,中,0,30,30,-10,-1
177,7.png,已完成,纯文字,-259,-573,左,-300,上,-533,95,31,41,-40
178,3.png,纯色块,方块,-309,32,左,-300,中,0,86,86,-9,32
179,3.png,纯色块,方块,236,-524,右,300,上,-533,86,86,-64,9
180,5.png,全部完成,纯文字,303,-507,右,300,上,-533,130,31,3,26
181,3.png,纯色块,方块,5,-489,中,0,上,-533,86,86,5,44
182,9.png,全部完成,长条文字按钮,-289,549,左,-300,下,533,352,140,11,16
183,10.png,全部完成,长条文字按钮,374,552,右,300,下,533,532,140,74,19
184,8.png,全部完成,长条文字按钮,6,-511,中,0,上,-533,282,140,6,22
185,9.png,全部完成,长条文字按钮,-3,524,中,0,下,533,352,140,-3,-9
186,5.png,全部完成,纯文字,-304,-545,左,-300,上,-533,130,31,-4,-12
187,1.png,纯色块,方块,316,539,右,300,下,533,30,30,16,6
188,10.png,全部完成,长条文字按钮,-229,16,左,-300,中,0,532,140,71,16
189,2.png,纯色块,方块,-344,-4,左,-300,中,0,48,48,-44,-4
190,4.png,纯色块,方块,357,57,右,300,中,0,120,120,57,57
191,2.png,纯色块,方块,-23,-13,中,0,中,0,48,48,-23,-13
192,6.png,完成,纯文字,-331,29,左,-300,中,0,64,31,-31,29
193,5.png,全部完成,纯文字,-325,36,左,-300,中,0,130,31,-25,36
194,6.png,完成,纯文字,40,494,中,0,下,533,64,31,40,-39
195,4.png,纯色块,方块,-322,-11,左,-300,中,0,120,120,-22,-11
196,7.png,已完成,纯文字,290,-525,右,300,上,-533,95,31,-10,8
197,7.png,已完成,纯文字,-332,33,左,-300,中,0,95,31,-32,33
198,4.png,纯色块,方块,-16,541,中,0,下,533,120,120,-16,8
199,1.png,纯色块,方块,-25,-542,中,0,上,-533,30,30,-25,-9
200,6.png,完成,纯文字,-314,-539,左,-300,上,-533,64,31,-14,-6
201,3.png,纯色块,方块,-12,524,中,0,下,533,86,86,-12,-9
202,7.png,已完成,纯文字,332,541,右,300,下,533,95,31,32,8
203,5.png,全部完成,纯文字,17,-518,中,0,上,-533,130,31,17,15
204,2.png,纯色块,方块,334,-541,右,300,上,-533,48,48,34,-8
205,8.png,全部完成,长条文字按钮,-353,-18,左,-300,中,0,282,140,-53,-18
206,7.png,已完成,纯文字,315,-558,右,300,上,-533,95,31,15,-25
207,7.png,已完成,纯文字,343,518,右,300,下,533,95,31,43,-15
208,9.png,全部完成,长条文字按钮,347,-532,右,300,上,-533,352,140,47,1
209,10.png,全部完成,长条文字按钮,-316,-532,左,-300,上,-533,532,140,-16,1
210,2.png,纯色块,方块,-303,-507,左,-300,上,-533,48,48,-3,26
211,4.png,纯色块,方块,-261,-576,左,-300,上,-533,120,120,39,-43
212,9.png,全部完成,长条文字按钮,402,23,右,300,中,0,352,140,102,23
213,6.png,完成,纯文字,-18,516,中,0,下,533,64,31,-18,-17
214,7.png,已完成,纯文字,314,7,右,300,中,0,95,31,14,7
216,8.png,全部完成,长条文字按钮,-17,541,中,0,下,533,282,140,-17,8
217,7.png,已完成,纯文字,50,13,中,0,中,0,95,31,50,13
218,3.png,纯色块,方块,281,550,右,300,下,533,86,86,-19,17
219,9.png,全部完成,长条文字按钮,17,-555,中,0,上,-533,352,140,17,-22
220,1.png,纯色块,方块,28,-25,中,0,中,0,30,30,28,-25
221,6.png,完成,纯文字,-343,-572,左,-300,上,-533,64,31,-43,-39
222,2.png,纯色块,方块,-295,11,左,-300,中,0,48,48,5,11
223,9.png,全部完成,长条文字按钮,-380,567,左,-300,下,533,352,140,-80,34
224,1.png,纯色块,方块,4,-557,中,0,上,-533,30,30,4,-24
225,5.png,全部完成,纯文字,265,535,右,300,下,533,130,31,-35,2
226,5.png,全部完成,纯文字,290,-516,右,300,上,-533,130,31,-10,17
227,7.png,已完成,纯文字,-317,24,左,-300,中,0,95,31,-17,24
228,5.png,全部完成,纯文字,-28,562,中,0,下,533,130,31,-28,29
229,9.png,全部完成,长条文字按钮,3,529,中,0,下,533,352,140,3,-4
230,4.png,纯色块,方块,280,511,右,300,下,533,120,120,-20,-22
231,9.png,全部完成,长条文字按钮,-205,38,左,-300,中,0,352,140,95,38
232,5.png,全部完成,纯文字,34,-529,中,0,上,-533,130,31,34,4
233,8.png,全部完成,长条文字按钮,-304,-537,左,-300,上,-533,282,140,-4,-4
234,10.png,全部完成,长条文字按钮,14,43,中,0,中,0,532,140,14,43
235,5.png,全部完成,纯文字,331,35,右,300,中,0,130,31,31,35
236,3.png,纯色块,方块,287,19,右,300,中,0,86,86,-13,19
237,10.png,全部完成,长条文字按钮,269,-506,右,300,上,-533,532,140,-31,27
238,6.png,完成,纯文字,235,545,右,300,下,533,64,31,-65,12
239,4.png,纯色块,方块,-9,-492,中,0,上,-533,120,120,-9,41
240,7.png,已完成,纯文字,-265,-574,左,-300,上,-533,95,31,35,-41
241,2.png,纯色块,方块,-7,-535,中,0,上,-533,48,48,-7,-2
242,6.png,完成,纯文字,313,-512,右,300,上,-533,64,31,13,21
243,10.png,全部完成,长条文字按钮,-217,522,左,-300,下,533,532,140,83,-11
245,3.png,纯色块,方块,-10,-538,中,0,上,-533,86,86,-10,-5
246,9.png,全部完成,长条文字按钮,-284,-526,左,-300,上,-533,352,140,16,7
247,9.png,全部完成,长条文字按钮,295,-486,右,300,上,-533,352,140,-5,47
248,8.png,全部完成,长条文字按钮,290,558,右,300,下,533,282,140,-10,25
249,2.png,纯色块,方块,40,-579,中,0,上,-533,48,48,40,-46
250,2.png,纯色块,方块,5,522,中,0,下,533,48,48,5,-11
251,6.png,完成,纯文字,-26,24,中,0,中,0,64,31,-26,24
252,1.png,纯色块,方块,303,562,右,300,下,533,30,30,3,29
253,6.png,完成,纯文字,240,41,右,300,中,0,64,31,-60,41
254,10.png,全部完成,长条文字按钮,-16,-550,中,0,上,-533,532,140,-16,-17
255,10.png,全部完成,长条文字按钮,-62,543,中,0,下,533,532,140,-62,10
256,8.png,全部完成,长条文字按钮,-297,-4,左,-300,中,0,282,140,3,-4
257,6.png,完成,纯文字,240,-4,右,300,中,0,64,31,-60,-4
258,3.png,纯色块,方块,-375,560,左,-300,下,533,86,86,-75,27
259,7.png,已完成,纯文字,-334,558,左,-300,下,533,95,31,-34,25
260,5.png,全部完成,纯文字,298,3,右,300,中,0,130,31,-2,3
261,8.png,全部完成,长条文字按钮,326,37,右,300,中,0,282,140,26,37
262,2.png,纯色块,方块,311,0,右,300,中,0,48,48,11,0
263,7.png,已完成,纯文字,-313,543,左,-300,下,533,95,31,-13,10
264,3.png,纯色块,方块,312,8,右,300,中,0,86,86,12,8
265,1.png,纯色块,方块,300,7,右,300,中,0,30,30,0,7
266,4.png,纯色块,方块,335,-510,右,300,上,-533,120,120,35,23
267,2.png,纯色块,方块,-293,-534,左,-300,上,-533,48,48,7,-1
268,1.png,纯色块,方块,-295,-521,左,-300,上,-533,30,30,5,12
269,7.png,已完成,纯文字,298,7,右,300,中,0,95,31,-2,7
270,8.png,全部完成,长条文字按钮,348,-15,右,300,中,0,282,140,48,-15
271,1.png,纯色块,方块,324,-4,右,300,中,0,30,30,24,-4
272,5.png,全部完成,纯文字,-20,-1,中,0,中,0,130,31,-20,-1
273,2.png,纯色块,方块,-358,571,左,-300,下,533,48,48,-58,38
274,7.png,已完成,纯文字,15,536,中,0,下,533,95,31,15,3
275,7.png,已完成,纯文字,-49,-536,中,0,上,-533,95,31,-49,-3
276,8.png,全部完成,长条文字按钮,298,-539,右,300,上,-533,282,140,-2,-6
277,3.png,纯色块,方块,-323,-518,左,-300,上,-533,86,86,-23,15
278,2.png,纯色块,方块,-340,567,左,-300,下,533,48,48,-40,34
279,5.png,全部完成,纯文字,19,582,中,0,下,533,130,31,19,49
280,6.png,完成,纯文字,-367,54,左,-300,中,0,64,31,-67,54
281,7.png,已完成,纯文字,-38,519,中,0,下,533,95,31,-38,-14
282,8.png,全部完成,长条文字按钮,-348,573,左,-300,下,533,282,140,-48,40
283,9.png,全部完成,长条文字按钮,49,14,中,0,中,0,352,140,49,14
284,3.png,纯色块,方块,-20,9,中,0,中,0,86,86,-20,9
285,4.png,纯色块,方块,-297,-13,左,-300,中,0,120,120,3,-13
286,8.png,全部完成,长条文字按钮,-318,533,左,-300,下,533,282,140,-18,0
287,3.png,纯色块,方块,5,555,中,0,下,533,86,86,5,22
288,1.png,纯色块,方块,0,11,中,0,中,0,30,30,0,11
289,5.png,全部完成,纯文字,-235,-5,左,-300,中,0,130,31,65,-5
290,4.png,纯色块,方块,329,8,右,300,中,0,120,120,29,8
291,9.png,全部完成,长条文字按钮,-256,13,左,-300,中,0,352,140,44,13
292,10.png,全部完成,长条文字按钮,-40,548,中,0,下,533,532,140,-40,15
293,1.png,纯色块,方块,-8,516,中,0,下,533,30,30,-8,-17
294,1.png,纯色块,方块,-323,-510,左,-300,上,-533,30,30,-23,23
295,9.png,全部完成,长条文字按钮,80,-521,中,0,上,-533,352,140,80,12
296,6.png,完成,纯文字,-289,537,左,-300,下,533,64,31,11,4
297,6.png,完成,纯文字,-26,-542,中,0,上,-533,64,31,-26,-9
298,5.png,全部完成,纯文字,-37,-1,中,0,中,0,130,31,-37,-1
299,3.png,纯色块,方块,-288,-539,左,-300,上,-533,86,86,12,-6
300,5.png,全部完成,纯文字,-323,558,左,-300,下,533,130,31,-23,25
301,10.png,全部完成,长条文字按钮,29,-7,中,0,中,0,532,140,29,-7
302,4.png,纯色块,方块,255,529,右,300,下,533,120,120,-45,-4
303,6.png,完成,纯文字,21,-8,中,0,中,0,64,31,21,-8
304,10.png,全部完成,长条文字按钮,-1,-562,中,0,上,-533,532,140,-1,-29
305,9.png,全部完成,长条文字按钮,68,-28,中,0,中,0,352,140,68,-28
306,8.png,全部完成,长条文字按钮,24,537,中,0,下,533,282,140,24,4
307,10.png,全部完成,长条文字按钮,-237,-562,左,-300,上,-533,532,140,63,-29
308,4.png,纯色块,方块,20,-5,中,0,中,0,120,120,20,-5
309,6.png,完成,纯文字,269,526,右,300,下,533,64,31,-31,-7
310,2.png,纯色块,方块,306,-537,右,300,上,-533,48,48,6,-4
311,8.png,全部完成,长条文字按钮,-6,-4,中,0,中,0,282,140,-6,-4
312,1.png,纯色块,方块,318,-537,右,300,上,-533,30,30,18,-4
313,4.png,纯色块,方块,33,-531,中,0,上,-533,120,120,33,2
314,10.png,全部完成,长条文字按钮,-259,7,左,-300,中,0,532,140,41,7
315,3.png,纯色块,方块,319,512,右,300,下,533,86,86,19,-21
316,10.png,全部完成,长条文字按钮,390,510,右,300,下,533,532,140,90,-23
317,6.png,完成,纯文字,279,-538,右,300,上,-533,64,31,-21,-5
318,9.png,全部完成,长条文字按钮,396,517,右,300,下,533,352,140,96,-16
319,2.png,纯色块,方块,379,486,右,300,下,533,48,48,79,-47
320,1.png,纯色块,方块,-287,24,左,-300,中,0,30,30,13,24
321,10.png,全部完成,长条文字按钮,272,36,右,300,中,0,532,140,-28,36
322,10.png,全部完成,长条文字按钮,290,-529,右,300,上,-533,532,140,-10,4
323,8.png,全部完成,长条文字按钮,307,-534,右,300,上,-533,282,140,7,-1
324,7.png,已完成,纯文字,10,8,中,0,中,0,95,31,10,8
325,1.png,纯色块,方块,-333,520,左,-300,下,533,30,30,-33,-13
326,5.png,全部完成,纯文字,-308,533,左,-300,下,533,130,31,-8,0
327,3.png,纯色块,方块,-318,21,左,-300,中,0,86,86,-18,21
328,1.png,纯色块,方块,276,-544,右,300,上,-533,30,30,-24,-11
329,4.png,纯色块,方块,-57,593,中,0,下,533,120,120,-57,60
330,1.png,纯色块,方块,-306,534,左,-300,下,533,30,30,-6,1
331,9.png,全部完成,长条文字按钮,-331,-575,左,-300,上,-533,352,140,-31,-42
332,8.png,全部完成,长条文字按钮,119,24,中,0,中,0,282,140,119,24
333,2.png,纯色块,方块,287,518,右,300,下,533,48,48,-13,-15
334,5.png,全部完成,纯文字,-313,-554,左,-300,上,-533,130,31,-13,-21
335,2.png,纯色块,方块,277,-5,右,300,中,0,48,48,-23,-5
336,10.png,全部完成,长条文字按钮,248,20,右,300,中,0,532,140,-52,20
337,3.png,纯色块,方块,309,-521,右,300,上,-533,86,86,9,12
338,6.png,完成,纯文字,-336,538,左,-300,下,533,64,31,-36,5
339,1.png,纯色块,方块,-20,539,中,0,下,533,30,30,-20,6
340,3.png,纯色块,方块,-265,551,左,-300,下,533,86,86,35,18
341,8.png,全部完成,长条文字按钮,36,-533,中,0,上,-533,282,140,36,0
342,10.png,全部完成,长条文字按钮,-356,545,左,-300,下,533,532,140,-56,12
343,4.png,纯色块,方块,-303,532,左,-300,下,533,120,120,-3,-1
344,8.png,全部完成,长条文字按钮,-294,-514,左,-300,上,-533,282,140,6,19
345,4.png,纯色块,方块,-276,-502,左,-300,上,-533,120,120,24,31
346,2.png,纯色块,方块,-3,3,中,0,中,0,48,48,-3,3
347,2.png,纯色块,方块,4,536,中,0,下,533,48,48,4,3
348,8.png,全部完成,长条文字按钮,413,510,右,300,下,533,282,140,113,-23
349,4.png,纯色块,方块,20,-17,中,0,中,0,120,120,20,-17
350,7.png,已完成,纯文字,14,-547,中,0,上,-533,95,31,14,-14
351,1.png,纯色块,方块,-307,24,左,-300,中,0,30,30,-7,24
352,9.png,全部完成,长条文字按钮,358,510,右,300,下,533,352,140,58,-23
353,4.png,纯色块,方块,294,-509,右,300,上,-533,120,120,-6,24
354,4.png,纯色块,方块,-323,565,左,-300,下,533,120,120,-23,32
355,5.png,全部完成,纯文字,332,533,右,300,下,533,130,31,32,0
356,3.png,纯色块,方块,48,-2,中,0,中,0,86,86,48,-2
357,6.png,完成,纯文字,7,-478,中,0,上,-533,64,31,7,55
358,9.png,全部完成,长条文字按钮,292,26,右,300,中,0,352,140,-8,26
359,9.png,全部完成,长条文字按钮,311,-573,右,300,上,-533,352,140,11,-40
360,8.png,全部完成,长条文字按钮,-273,506,左,-300,下,533,282,140,27,-27
361,5.png,全部完成,纯文字,288,558,右,300,下,533,130,31,-12,25
362,1.png,纯色块,方块,37,540,中,0,下,533,30,30,37,7
363,1.png,纯色块,方块,300,528,右,300,下,533,30,30,0,-5
364,3.png,纯色块,方块,12,2,中,0,中,0,86,86,12,2
